ui,intervention,p_self_k,p_other_k,p_beta,p_other_self_k,p_self_choice,p_other_choice,l_self_k,l_other_k,l_beta,l_other_self_k,l_self_choice,l_other_choice,h_self_k,h_other_k,h_beta,h_other_self_k,h_self_choice,h_other_choice
8604,1,0.0114817326028064,0.0198500032393531,1.18406147511723,0.00836827063654671,1,1,0.0653585740486082,0.0819312423407441,1.23098197608987,0.0165726682921359,1,1,0.0961734133673429,0.0599853437261798,1.63596481082031,-0.0361880696411631,1,1
8704,0,0.0141972741544793,0.0821040225792168,1.3802643624618,0.0679067484247375,0.956521739130435,0.782608695652174,0.053282571594558,0.321384978964686,1.3400629077311,0.268102407370128,0.956521739130435,0.782608695652174,0.0850427419374295,0.279934714061773,2.17509682971553,0.194891972124344,0.956521739130435,0.782608695652174
8925,1,0.00783515626335012,0.0976429735358164,0.811948956986611,0.0898078172724662,0.958333333333333,0.541666666666667,0.0332175354402827,0.446918461064316,0.910943023816152,0.413700925624033,0.958333333333333,0.541666666666667,0.0465273072861001,0.569294505988695,1.64761611365216,0.522767198702595,0.958333333333333,0.541666666666667
8949,0,0.0128554693529626,0.0674471044947259,0.747747885820357,0.0545916351417633,0.708333333333333,0.739130434782609,0.0786467448960059,0.257590167483142,0.775716496131477,0.178943422587136,0.708333333333333,0.739130434782609,0.111693666563698,0.207935660461437,1.1082614616132,0.0962419938977385,0.708333333333333,0.739130434782609
8987,0,0.0244973319625245,0.0222116497795129,1.57731223718152,-0.0022856821830116,0.91304347826087,0.875,0.127702594903361,0.124059457567103,1.75708469502556,-0.00364313733625804,0.91304347826087,0.875,0.109085434621657,0.111656651056542,2.43160684326922,0.00257121643488485,0.91304347826087,0.875
9045,0,0.0414736361582243,0.0936972646490054,1.2346106545561,0.0522236284907811,0.708333333333333,0.608695652173913,0.292373084983846,0.445635476532344,1.88948786066373,0.153262391548499,0.708333333333333,0.608695652173913,0.277366618333295,0.435255423683751,3.39006118222575,0.157888805350456,0.708333333333333,0.608695652173913
9203,0,0.00814188648913397,0.0170430165343105,2.67625573610255,0.00890113004517652,1,1,0.0362587282998395,0.0762609666604632,2.73387898288475,0.0400022383606238,1,1,0.0450219481536863,0.0592209891853061,3.87965634474397,0.0141990410316198,1,1
9350,0,0.00813961001097277,0.0170447242299074,2.67642048493359,0.00890511421893465,1,1,0.036258545219263,0.0762611240398605,2.73388641977033,0.0400025788205975,1,1,0.0450226468110302,0.0592201810142749,3.87965248102952,0.0141975342032447,1,1
9477,1,0.0316209767290277,0.0658331871637391,0.964765652361174,0.0342122104347114,1,1,0.0995650205913625,0.242587567110762,0.921997507069775,0.143022546519399,1,1,0.131145184819105,0.229020794892357,1.49195176405364,0.0978756100732522,1,1
9585,1,0.00814233399391087,0.017041080235193,2.67639644087668,0.00889874624128214,1,1,0.036258599456808,0.0762610600503158,2.7338843345982,0.0400024605935079,1,1,0.0450224805279101,0.0592203882020941,3.87964985493522,0.014197907674184,1,1
9593,1,0.0123171095958662,0.0191668433812785,1.06224665133607,0.00684973378541233,0.869565217391304,1,0.0606989192077068,0.0789639601122332,1.09288261147979,0.0182650409045263,0.869565217391304,1,0.1483725378292,0.0514568079762799,1.6464784916575,-0.0969157298529201,0.869565217391304,1
9620,1,0.00723506387237645,0.0292417939150805,1.48570671156281,0.022006730042704,0.958333333333333,0.956521739130435,0.0335289697177317,0.12050329387441,1.5134477485177,0.0869743241566787,0.958333333333333,0.956521739130435,0.0417026561411481,0.139668733136599,2.23445937475895,0.0979660769954506,0.958333333333333,0.956521739130435
9779,0,0.0107616156493264,0.073993836313014,0.914474008521208,0.0632322206636876,0.869565217391304,0.782608695652174,0.0488762122091687,0.266663075009905,0.897475192543363,0.217786862800737,0.869565217391304,0.782608695652174,0.0828601551564479,0.234107787132599,1.35628798631492,0.151247631976151,0.869565217391304,0.782608695652174
